build_up_id,match_id,match_date,match_label,team,goal_player,goal_minute,goal_second,period,possession,play_pattern,formation,passes_before_goal,duration_seconds,players_involved,start_x,start_y,start_third,goal_x,goal_y,attack_type
3857256_1,3857256,2022-12-02,Serbia vs Switzerland,Switzerland,Xherdan Shaqiri,19,11,1,44,From Free Kick,4231,5,18,6,29.7,74.2,Defensives Drittel,107.5,50.6,Trainerregel (4–5)
3857256_2,3857256,2022-12-02,Serbia vs Switzerland,Serbia,Aleksandar Mitrović,25,56,1,68,Regular Play,3412,2,7,3,57.3,13.5,Mittleres Drittel,108.3,38.6,Sehr direkt (0–3)
3857256_3,3857256,2022-12-02,Serbia vs Switzerland,Serbia,Dušan Vlahović,34,28,1,82,From Counter,3412,0,5,1,80.8,20.3,Offensives Drittel,106.2,31.8,Sehr direkt (0–3)
3857256_4,3857256,2022-12-02,Serbia vs Switzerland,Switzerland,Breel-Donald Embolo,43,41,1,99,Regular Play,4231,5,19,6,6.4,53.0,Defensives Drittel,114.4,36.9,Trainerregel (4–5)
3857256_5,3857256,2022-12-02,Serbia vs Switzerland,Switzerland,Remo Freuler,47,38,2,113,From Free Kick,4231,9,34,7,49.4,25.9,Mittleres Drittel,107.2,41.2,Langer Aufbau (9+)
3869151_1,3869151,2022-12-03,Argentina vs Australia,Argentina,Lionel Andrés Messi Cuccittini,34,35,1,52,From Free Kick,433,4,8,4,100.4,52.7,Offensives Drittel,104.2,48.9,Trainerregel (4–5)
3869151_2,3869151,2022-12-03,Argentina vs Australia,Argentina,Julián Álvarez,56,41,2,89,Regular Play,433,0,13,1,115.4,22.8,Offensives Drittel,110.4,50.3,Sehr direkt (0–3)
3857257_1,3857257,2022-11-30,Australia vs Denmark,Australia,Mathew Leckie,59,56,2,126,From Counter,442,4,10,5,20.6,34.2,Defensives Drittel,105.7,31.5,Trainerregel (4–5)
3857258_1,3857258,2022-11-24,Brazil vs Serbia,Brazil,Richarlison de Andrade,61,58,2,116,Regular Play,4231,20,59,9,45.3,71.0,Mittleres Drittel,114.5,41.8,Langer Aufbau (9+)
3857258_2,3857258,2022-11-24,Brazil vs Serbia,Brazil,Richarlison de Andrade,72,54,2,134,From Throw In,4231,5,21,5,29.9,80.0,Defensives Drittel,107.1,39.6,Trainerregel (4–5)
3857288_1,3857288,2022-11-26,Tunisia vs Australia,Australia,Mitchell Thomas Duke,22,50,1,47,From Throw In,442,8,27,7,45.6,80.0,Mittleres Drittel,110.1,32.5,Mittlerer Aufbau (6–8)
3857267_1,3857267,2022-11-29,Ecuador vs Senegal,Senegal,Ismaïla Sarr,43,41,1,70,Other,4231,0,0,1,108.0,40.0,Offensives Drittel,108.0,40.0,Sehr direkt (0–3)
3857267_2,3857267,2022-11-29,Ecuador vs Senegal,Ecuador,Moisés Isaac Caicedo Corozo,66,58,2,126,From Corner,433,1,2,2,120.0,80.0,Offensives Drittel,117.2,35.6,Sehr direkt (0–3)
3857267_3,3857267,2022-11-29,Ecuador vs Senegal,Senegal,Kalidou Koulibaly,69,30,2,128,From Free Kick,4231,0,3,1,88.6,74.6,Offensives Drittel,114.3,46.0,Sehr direkt (0–3)
3869321_1,3869321,2022-12-09,Netherlands vs Argentina,Argentina,Nahuel Molina Lucero,34,4,1,57,From Throw In,352,11,43,6,64.9,80.0,Mittleres Drittel,109.1,42.4,Langer Aufbau (9+)
3869321_2,3869321,2022-12-09,Netherlands vs Argentina,Argentina,Lionel Andrés Messi Cuccittini,72,39,2,126,Other,352,0,0,1,108.0,40.0,Offensives Drittel,108.0,40.0,Sehr direkt (0–3)
3869321_3,3869321,2022-12-09,Netherlands vs Argentina,Netherlands,Wout Weghorst,82,17,2,137,From Free Kick,3412,7,34,6,72.9,60.9,Mittleres Drittel,108.7,46.4,Mittlerer Aufbau (6–8)
3869321_4,3869321,2022-12-09,Netherlands vs Argentina,Netherlands,Wout Weghorst,100,32,2,166,From Free Kick,3412,1,1,2,96.8,31.8,Offensives Drittel,111.8,39.9,Sehr direkt (0–3)
3869321_5,3869321,2022-12-09,Netherlands vs Argentina,Argentina,Lionel Andrés Messi Cuccittini,121,3,5,226,Other,352,0,0,1,108.1,40.1,Offensives Drittel,108.1,40.1,Sehr direkt (0–3)
3869321_6,3869321,2022-12-09,Netherlands vs Argentina,Argentina,Leandro Daniel Paredes,122,39,5,228,Other,352,0,0,1,108.1,40.1,Offensives Drittel,108.1,40.1,Sehr direkt (0–3)
3869321_7,3869321,2022-12-09,Netherlands vs Argentina,Netherlands,Teun Koopmeiners,123,31,5,229,Other,3412,0,0,1,108.1,40.1,Offensives Drittel,108.1,40.1,Sehr direkt (0–3)
